,Date,Value
3888,2017-10-28,127.81
3889,2017-10-29,130.76
3890,2017-10-30,167.83
3891,2017-10-31,151.77
3892,2017-11-01,147.27
3893,2017-11-02,154.1
3894,2017-11-03,146.68
3895,2017-11-04,139.91
3896,2017-11-05,167.51
3897,2017-11-06,186.2
3898,2017-11-07,177.26
3899,2017-11-08,190.58
3900,2017-11-09,172.97
3901,2017-11-10,170.52
3902,2017-11-11,164.64
3903,2017-11-12,184.96
3904,2017-11-13,214.72
3905,2017-11-14,179.81
3906,2017-11-15,164.01
3907,2017-11-16,167.71
3908,2017-11-17,199.73
3909,2017-11-18,189.31
3910,2017-11-19,193.58
3911,2017-11-20,177.44
3912,2017-11-21,155.91
3913,2017-11-22,146.4
3914,2017-11-23,172.88
3915,2017-11-24,205.92
3916,2017-11-25,219.43
3917,2017-11-26,214.83
3918,2017-11-27,213.13
3919,2017-11-28,227.63
3920,2017-11-29,246.3
3921,2017-11-30,263.55
3922,2017-12-01,251.11
3923,2017-12-02,216.11
3924,2017-12-03,193.13
3925,2017-12-04,204.09
3926,2017-12-05,200.37
3927,2017-12-06,187.84
3928,2017-12-07,200.55
3929,2017-12-08,253.37
3930,2017-12-09,257.31
3931,2017-12-10,259.84
3932,2017-12-11,283.73
3933,2017-12-12,278.71
3934,2017-12-13,247.91
3935,2017-12-14,252.8
3936,2017-12-15,255.77
3937,2017-12-16,253.79
3938,2017-12-17,236.82
3939,2017-12-18,242.21
3940,2017-12-19,231.72
3941,2017-12-20,193.83
3942,2017-12-21,177.85
3943,2017-12-22,170.29
3944,2017-12-23,164.9
3945,2017-12-24,157.43
3946,2017-12-25,154.28
3947,2017-12-26,192.26
3948,2017-12-27,238.77
3949,2017-12-28,249.86
3950,2017-12-29,239.0
3951,2017-12-30,187.9
3952,2017-12-31,180.36
3953,2018-01-01,203.4
3954,2018-01-02,217.95
3955,2018-01-03,215.91
3956,2018-01-04,210.66
3957,2018-01-05,223.65
3958,2018-01-06,236.66
3959,2018-01-07,251.17
3960,2018-01-08,268.66
3961,2018-01-09,243.93
3962,2018-01-10,219.74
3963,2018-01-11,229.23
3964,2018-01-12,222.64
3965,2018-01-13,216.66
3966,2018-01-14,221.35
3967,2018-01-15,218.68
3968,2018-01-16,246.24
3969,2018-01-17,252.15
3970,2018-01-18,240.96
3971,2018-01-19,252.66
3972,2018-01-20,245.38
3973,2018-01-21,247.27
3974,2018-01-22,218.92
3975,2018-01-23,197.62
3976,2018-01-24,203.94
3977,2018-01-25,215.57
3978,2018-01-26,223.25
3979,2018-01-27,206.05
3980,2018-01-28,176.74
3981,2018-01-29,200.57
3982,2018-01-30,222.89
3983,2018-01-31,231.25
3984,2018-02-01,239.57
3985,2018-02-02,234.27
3986,2018-02-03,230.1
3987,2018-02-04,237.5
3988,2018-02-05,262.32
3989,2018-02-06,270.21
3990,2018-02-07,266.08
3991,2018-02-08,248.07
3992,2018-02-09,247.97
3993,2018-02-10,234.36
3994,2018-02-11,234.37
3995,2018-02-12,253.77
3996,2018-02-13,260.52
3997,2018-02-14,260.28
3998,2018-02-15,227.34
3999,2018-02-16,230.29
4000,2018-02-17,210.38
4001,2018-02-18,205.21
4002,2018-02-19,197.54
4003,2018-02-20,201.33
4004,2018-02-21,219.48
4005,2018-02-22,241.74
4006,2018-02-23,259.34
4007,2018-02-24,242.61
4008,2018-02-25,247.33
4009,2018-02-26,289.53
4010,2018-02-27,301.05
4011,2018-02-28,332.27
4012,2018-03-01,353.08
4013,2018-03-02,329.93
4014,2018-03-03,283.93
4015,2018-03-04,239.7
4016,2018-03-05,220.68
4017,2018-03-06,217.43
